text	emotions
i feel resentful about my education	love
i am feeling extremely distracted so i thought i would throw up a post	love
i am feeling so grumpy and miserable	love
i started feel annoyed by your blames after waited for a days then i saw a status of yours	love
i feel that this is a little bit petty for you to be playing this game	love
i dont know why but everytime i talk to you i just feel despised	love
im feeling like grumpy dwarf tonight	love
i asked feeling a little insulted	love
i feel agitated at times	love
i feel terribly distracted all the time and yet i have no real thoughts of doing anything	love
i feel distracted flitting from tweets or feeds or links or news stuff and am not completely sure what to do about it	love
i feel like rushed the whole entire time its like they are moving the movie along too fast	love
i feel like a fucked up individual	love
i guess it doesnt help that i feel like its petty so it makes me want to do it even less	love
i mean that would probably make him feel a little less grumpy and i really want some whether im getting sick or not	love
i feel dissatisfied knowing that all my other friends are busy in polytechnics and ites learning new things while i stay home and do housework	love
i thought about the last time i saw this person amp how i didnt feel angry when i saw them	love
i just feel really pissed and insulted	love
i dont know if that rules written down somewhere but i do have a gut feeling that not to would be rude	love
im creature of feelings i evaluate life on my feelings dangerous	love
i don t want to hate on the game too much since it hasn t been released yet but at first glance it looks like another mediocre superhero game that will leave you feeling dissatisfied	love
i feel selfish but she would insist	love
i feel really selfish and to be honest i think deep down i am	love
i feel like being vicious but	love
i feel mad that it took a three years to get to this point	love
i finally got round to asking him if he was feeling a little distracted lately as id suspected before	love
i feel like ive become extremely bitchy	love
i couldn t help feeling a little bitter look at them all	love
i said a few hurried sentences to everyone but only ended up feeling dissatisfied with all my conversations	love
i always feel the need to greet you all i feel impolite if i dont write a greeting message at the beginning of my post	love
i find myself feeling distracted and un inspired by whats going on at a href http myvintagewindow	love
i feel a cold flush running through my hair a href http ejstylefashionblog	love
i didnrrrt rather feel outraged even so do feel insulted	love
i feel very distracted from nature	love
i still wish i wouldnt feel bothered by the things you say dont say think dont think do dont do	love
i tag you and youd rather not participate i wont feel offended	love
i am really disappointed vegetable self sufficiency still feels petty good	love
i feel when i have wronged someone and yet i need their love or approval	love
i truly understand how it feels to be humilated and insulted and made fun of thus ive decided not to do any of that anymore	love
i realized that if anyone ever wants to feel petty and insignificant they should ride on the bus in bucharest	love
i am starting to feel extremely frustrated because i am starting to not like his roommate and his constant whining and blaming steven for everything his roommate is responsible for	love
i feel so jealous and bitter and invisible next to her	love
i feel angry i write	love
i feel so rude when i click that reply button but	love
i hate that i feel like this when this is such a petty issue to begin with	love
i had hurt his feelings and i had kicked it into bitchy mode	love
i have this really bad feeling that cold is what i will be for a few months	love
i look at my husband and feel envious hes off work right now hes the fun parent am i really loading the dishwasher for the third time today	love
