text	emotions
i feel very dissatisfied after being on the internet i want to do something else	anger
i feel like the story might be the only thing that somewhat bothered me when it came to this book	anger
i feel bitchy today for no reason	anger
i can t help it that i d feel bitter or bad about myself	anger
i feel obnoxious when i use exclamation points	anger
i think woody and daniel must have started feeling irritated about the pace and thats about when it turned into a little race at the front	anger
i feel like im such a heartless person	anger
i feel like gin is vile and causes misery while beer makes everyone happy	anger
im feeling mad about	anger
i am feeling to stubborn to buy duplicates of everything	anger
i decide i like girls i will forever feel like a rebellious teenager	anger
i kind of feel like i was fucked by the system you know	anger
i think of a girl and when something suddenly tells me like my intuition the girl may be more attractive than you i feel furious	anger
i will do it somehow i always do but im feeling slightly distracted and faintly stressed like ive forgotten something important which i probably have	anger
i feel offended when indies are apologetic about what they do	anger
i actually can feel that im fucked up right now	anger
i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life	anger
i was able spend as much time as i needed taking pictures without feeling rushed	anger
i feel so rebellious on my parents for not letting them know what i m doing for the moment and for my friends who were away for a long time and were thrilled to meet me there	anger
i got up this morning feeling really cranky and sore for two reasons	anger
i was feeling that furious particularly img src http www	anger
im the first one to write someone off if i feel theyve wronged me	anger
i was feeling resentful because i didnt want to move from makati where i was born and raised to cainta which i had never even been to before	anger
i lets me into his fucked up world and he usually does i feel fucked up too and honestly a little scared	anger
i was feeling cranky about going to chemo	anger
i dont want to go into detail because i feel like im making petty excuses like i should have suck it up and just invite her anyway	anger
im kind of thinking it doesnt have to do with what or who im feeling jealous about but maybe more to do with me and something im going through	anger
i feel dissatisfied with what i have a href http cacabocl	anger
im feeling exceptionally bitchy today	anger
i still feel like i just stepped in something vile with my bare feet	anger
i never requested this card and i feel offended that they would send me something like this in the mail unsolicited	anger
i am feeling a little less petty than usual today it only ended up on his facebook score	anger
i wish i could take her to a gamr but her parents feel that it is too violent of a sport	anger
i knew i was comparing those virtual experiences to us and feeling more dissatisfied with our sex	anger
i dont know i feel really petty	anger
im the only one in our group of girls that has had ties to the catholic church and just being there might make me feel hostile	anger
im feeling very rebellious in that sense at the moment	anger
im totally feeling bitchy at the moment and i really have no idea why	anger
im feeling particularly irritated these things get to me	anger
im eighteen whenever we feel rebellious and dont know what we are rebelling against	anger
i wouldve loved to have got up and gone over to the window to see the weather doing its worst but instead i stayed lying down breathing deeply and feeling distracted and by the time that was over the worst of the storm was over too	anger
i dont need to know why someone establishes the boundaries they do and i dont need to feel offended when someone behaves outside of the realm of what is familiar or right friendly or loving in my opinion	anger
i explained feeling angry is a bit like a fire alarm and sometimes we get angry when its just burnt sausages and not a real fire	anger
i just feel a cold reality creep in where once my heart bled for these teams	anger
i feel like punching someone in the face i feel like being betrayed mad and sad that makes me cry	anger
i have is with his voice though he was not the worst singer in the movie i was left feeling dissatisfied with the way he handled several of the songs	anger
i feel irritated with the spray on blogger img src http askdoctor	anger
im being friendly here rather than feeling rude theyre paying attention to what i say and im making people feel good should try this with girls and may be can start the day with a little flirting as well	anger
i feel as if im slowly being tortured and someone is playing a cruel cruel joke on me	anger
i get depressed when im with that person because she makes me so happy and i get so loud and she doesnt get loud she stays quiet and i feel obnoxious and rude	anger
i couldn t help but feel pissed off at both sides of the debate and the unnecessary dichotomy itself	anger
i feel too rude telling people to be quiet but i was so tiered	anger
i was already beginning to feel very very agitated so i started to rant	anger
insulted by the class leader	anger
i feel like i don t have any energy and im really grouchy moodie	anger
ive been dealing with him i have been feeling really fucked up about myself	anger
i often find my self feeling offended myself when i hear people who i believe to be otherwise brilliant people following what i consider odd superstitions and strange rituals	anger
i thought yesterday of trying to sit with the feelings of hopelessness indifference and sadness that i was experiencing the idea just aggravated the frustration and anger i was already dealing with	anger
i need to consider the source and get over it but when i feel insulted i get rattled and dwell on it	anger
i feel mad when you forget to take the trash out on tuesdays	anger
i was starting to get really depressed and i was starting to feel like i hated everyone i know	anger
i feel envious of the shobhas and the des who have so many different takes on so many different subjects everyday and have a container load of expectations lying in wait around every corner of the snakes and ladder game that is meaningful if not creative writing	anger
i feel slightly grumpy today	anger
i mean dont get me wrong because i think amazon is a fine company who have delivered many positives for writers but you do get the feeling that if amazon did suddenly turn into vile inhuman baby killers then konrath would still defend them	anger
i will feel jealous when you eat with your friends	anger
i feel personally insulted by their rock bottom estimation of my intelligence	anger
i am chronically getting my undies in a bundle feeling wronged and slighted and unloved	anger
i am just feeling irritated that i can t find mine	anger
i felt sadness i felt loss but i didn t feel angry	anger
i feel soo insulted	anger
i don t feel that pissed off about it all right now i just wonderhow long it will take before the brain zaps go away for good	anger
i began to feel a touch agitated	anger
ive been feeling quite rebellious lately	anger
i tried my best to talk to you via bbm but you are just so cold which make me feel offended amp sometimes you were using the words which really test my patience	anger
i feel fuk up there is one thing i hated the most is you	anger
i have been feeling dissatisfied with my growth in	anger
im really not feeling that hostile its just that i love that expression of mine get off my roof	anger
i do not get this time i can feel myself becoming agitated and unable to think properly	anger
i feel heartless even just typing that as a joke	anger
i feel wronged no more trying to keep everyone happy when i dont feel happy	anger
i feel quite rude but we had a good old chat i love her tales of her family and her studies as a nurse	anger
i am so insensitive and second i feel so jealous with that girl	anger
i just go into these modes where i want to write then feel disgusted and do not what to write at all	anger
i picked up because i knew that my dad would want to read it too so i wouldnt feel greedy for getting four all for me	anger
i have spent a lot of time feeling hostile to the present moment	anger
i suddenly feel alot less stubborn	anger
i mean who couldnt but i feel greedy even thinking about it	anger
i get started if i feel passionately about something i can get really stubborn	anger
i do feel bothered so often even there is just people i know	anger
i say i m feeling that agitated and sick from this danged hn	anger
i feel distracted sentimental excited emotional tired and hopeful all depending on whether i try to decide what doors to close and what doors to open	anger
i got there i would say embarrassing but im not really sure i know what thats supposed to feel like since it seems a bit rude to show up somewhere say hi to everyone and then mysteriously disappear and go home	anger
i feel like i fucked up as a mother because my son s father is an alcoholic	anger
i feel infuriated by helplessness and losing the ability to speak and eat what i wish lol	anger
i might get a junk phone call asking to speak to mrs stuart i will ask who is calling or if i m feeling grumpy i ll just say there is no such person ignoring the fact that my sister in law is mrs stuart my mother was mrs stuart and there must be numerous other mrs stuarts in the world	anger
i feel rude when people offer me something lovely they ve made and i decline it	anger
i feel irritated if i dont bitch i feel like i suffocating over it i wanted to strangle this irritating peeps but since i cant i bitch here is the kindest way i could think of my friends	anger
i feel less angered now	anger
i feel less hostile	anger
im beginning to feel extremely aggravated at these contractions i keep having especially when they last all night and go away the next morning	anger
i feel stubborn and immature about it even though i know how ridiculous it is to avoid the scale as if that lessens the damage caused by too many calories	anger
i feel as cranky as iris looks	anger
i feel kinda pissed off too actually	anger
i mean i wrote a clever poem about how if hes feeling grouchy he can open up the jar and take out one of the little slips of paper inside	anger
i feel selfish saying that because you were in so much pain	anger
i feel like i know so many moms who have something to add to the end of that sentence and i find myself feeling jealous	anger
i loved about ellie is that she didnt feel insulted by all the rude douche baggy things lothaire said to her because according to ellie insults only hurt when they come from somebody you respect damn straight	anger
i used to feel completely enraged in the best possible way to no time	anger
i feel spiteful and nasty and grinch like	anger
i feel like being incredibly sarcastic right now	anger
im feeling very grouchy and hate evrything at the moment	anger
i hated feeling bitter amp unforgiving and i wanted those feelings gone as soon as possible	anger
i feel rude if i dont eat some	anger
i started to feel abit jealous abit admire	anger
i feel like the very cranky bear who went into hibernation and didn t want to share his cave	anger
ive been feeling really frustrated the past couple of weeks because i have this absolutely beautiful car sitting in my driveway and no time to drive it	anger
i feel like this night is being fucked over royally	anger
i feel tortured with spd and lyme a href http freeideasblog	anger
i feel the signs of the apocalypse in my cold bones in the cicada like hum of the fluorescents in my cubicle at the end of the factory floor	anger
i was feeling very grumpy about the whole slutty costume thing this year and then when doktor named his halloween party an excuse to dress up like whores that ended up being the final nail in the coffin of my desire to dress in a slutty costume	anger
i was just feeling so bitchy	anger
i do feel jealous looking at others having a boyfriend or a girlfriend	anger
i feel so mad happy when you notice me even if it is just a second	anger
i feel as a culture we get so distracted with busy schedules to do lists responsibilities work kids and friends that we get lost	anger
i teared up already i felt so stressed out and i havent been telling anyone or showing much how i feel and how stressed out i am about school	anger
i was like just kick me thats okay cause i am fat enough so i cant feel your kick how impolite i am	anger
i created this thing to bitch it may not be updated until i feel bitchy again	anger
i didnt think youd want to hear me complain about how bad i feel so this is your warning i am a grouchy pregnant lady amp this is my blog so tonight im going to complain some	anger
i am not complaining really today i really dressed for the sun my chino s came out and i didn t feel an inch of cold at all	anger
i feel bitchy o so bitchy part two of the posts	anger
i need to stop and take breaths when i can feel myself getting irritated and i need to keep my mouth closed	anger
im just feeling kind of grumpy	anger
i scoffed feeling outraged and said you learn the lines	anger
i could feel angry at the losses of luna and bella at such young ages and barricade my heart against such sadness again	anger
i feel mad cool opening both sides of my van by using the clicker	anger
i feel like crap she makes me smile when all i want to do is be grumpy	anger
i get the feeling that its going to be a little bit dangerous having my entire wishlist all in one place	anger
i feel furious on flouncing womans behalf	anger
i was on the phone this evening with my mother and feeling impatient during the call because she likes to call right when i ought to be cooking dinner and talks about nothing important at all when i got the dreaded call waiting beeps	anger
i feel extremely fed up and bothered of course	anger
i love kitties and i kind of feel like spiders are underrated and over hated	anger
i mean serious things depression misery feeling of abandonment and way she s hated	anger
i was feeling very insulted	anger
i feel impatient with the pain	anger
i feel like i have nothing sarcastic motivating or a recipe to share	anger
i feel guily hateful of self sad pissed	anger
i was feeling like extremely bitchy and bored and unsatisfied with my life	anger
im feeling shiiit iz fucked up	anger
i feel as if nelson feels i ought to be offended by what allen says but im not	anger
i woke up after only about hours of sleep feeling oddly dissatisfied and tired but restless and agitated	anger
i feel angry with just about everything and anything and i think its childlike because i dont know how to manage it or where to put it	anger
i feel like a hateful bi atch i will continue with this	anger
i feel generally dissatisfied and lost	anger
i write i feel disgusted and ashamed of my body	anger
i feel like i see a lot of petty arguments popping up online in regards to this film	anger
